"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Apr 17 10:58:29 BST 2019","Wed Apr 17 10:58:30 BST 2019","1464","","Performing a google Search Performing a search operation with passing test data as data table","","Performing a google Search Performing a search operation with passing test data as data table","I should see a list of search results","I should see a list of search results",""
"passed","Wed Apr 17 18:48:20 BST 2019","Wed Apr 17 18:48:20 BST 2019","114","","Performing a login Performing login operation","","Performing a login Performing login operation","I should should login to my facebook account","I should should login to my facebook account",""
"passed","Tue Apr 16 21:39:22 BST 2019","Tue Apr 16 21:39:25 BST 2019","2788","","Performing a login Performing login operation with passing test data as data table","","Performing a login Performing login operation with passing test data as data table","I login with username and password ""user@phptravels.com"" ""demouser"" into the text box","I login with username and password ""user@phptravels.com"" ""demouser"" into the text box",""
"broken","Wed Apr 17 15:23:24 BST 2019","Wed Apr 17 15:23:24 BST 2019","3","","Performing a login Performing login operation","","Performing a login Performing login operation","I login with username and password ""heenu_rocking@yahoo.com"" ""obey@GOD11me"" into the text box on facebook page","I login with username and password ""heenu_rocking@yahoo.com"" ""obey@GOD11me"" into the text box on facebook page",""
"passed","Wed Apr 17 13:27:54 BST 2019","Wed Apr 17 13:27:56 BST 2019","1773","","Performing a google Search Performing a search operation with passing test data as data table","","Performing a google Search Performing a search operation with passing test data as data table","I click the google search button","I click the google search button",""
"skipped","Wed Apr 17 10:00:00 BST 2019","Wed Apr 17 10:00:00 BST 2019","1","","Performing a Yahoo Search Performing a search operation","","Performing a Yahoo Search Performing a search operation","I should see a list of search results","I should see a list of search results",""
"passed","Wed Apr 17 13:27:56 BST 2019","Wed Apr 17 13:27:56 BST 2019","113","","Performing a google Search Performing a search operation with passing test data as data table","","Performing a google Search Performing a search operation with passing test data as data table","I should see a list of search results on google page","I should see a list of search results on google page",""
"passed","Wed Apr 17 13:27:53 BST 2019","Wed Apr 17 13:27:54 BST 2019","1295","","Performing a google Search Performing a search operation with passing test data as data table","","Performing a google Search Performing a search operation with passing test data as data table","I enter ""Cucumber BDD"" into the google search box","I enter ""Cucumber BDD"" into the google search box",""
"broken","Wed Apr 17 10:00:00 BST 2019","Wed Apr 17 10:00:00 BST 2019","0","","Performing a Yahoo Search Performing a search operation with passing test data as data table","","Performing a Yahoo Search Performing a search operation with passing test data as data table","I am on the search page","I am on the search page",""
"skipped","Wed Apr 17 10:00:00 BST 2019","Wed Apr 17 10:00:00 BST 2019","2","","Performing a Yahoo Search Performing a search operation","","Performing a Yahoo Search Performing a search operation","I enter ""Selenium Webdriver"" into the search box","I enter ""Selenium Webdriver"" into the search box",""
"passed","Tue Apr 16 21:39:25 BST 2019","Tue Apr 16 21:39:38 BST 2019","13594","","Performing a login Performing login operation with passing test data as data table","","Performing a login Performing login operation with passing test data as data table","I should see the message ""Hi, Johny Smith"" on my account page","I should see the message ""Hi, Johny Smith"" on my account page",""
"passed","Wed Apr 17 18:48:07 BST 2019","Wed Apr 17 18:48:20 BST 2019","12970","","Performing a login Performing login operation","","Performing a login Performing login operation","I enter username and password ""heenu_rocking@yahoo.com"" ""obey@GOD11me"" into the text box","I enter username and password ""heenu_rocking@yahoo.com"" ""obey@GOD11me"" into the text box",""
"skipped","Tue Apr 16 21:29:39 BST 2019","Tue Apr 16 21:29:39 BST 2019","1","","Performing a Yahoo Search Performing a search operation with passing test data as data table","","Performing a Yahoo Search Performing a search operation with passing test data as data table","I enter ""Selenium Webdriver"" into the search box","I enter ""Selenium Webdriver"" into the search box",""
"skipped","Wed Apr 17 10:00:00 BST 2019","Wed Apr 17 10:00:00 BST 2019","1","","Performing a Yahoo Search Performing a search operation","","Performing a Yahoo Search Performing a search operation","I click the search button","I click the search button",""
"passed","Tue Apr 16 21:39:13 BST 2019","Tue Apr 16 21:39:22 BST 2019","8856","","Performing a login Performing login operation with passing test data as data table","","Performing a login Performing login operation with passing test data as data table","I am on the phptravels page","I am on the phptravels page",""
"passed","Wed Apr 17 13:27:51 BST 2019","Wed Apr 17 13:27:53 BST 2019","2509","","Performing a google Search Performing a search operation with passing test data as data table","","Performing a google Search Performing a search operation with passing test data as data table","I am on the google search page","I am on the google search page",""
